								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：i		Date：20160830	

			期货公司会员	

名次		会员简称	成交量		增减		
49		国信期货	3,838		22		
50		冠通期货	3,764		-335		
51		晟鑫期货	3,619		677		
52		上海东亚	3,594		-273		
53		北京首创	3,564		313		
54		国贸期货	3,462		77		
55		中投期货	3,446		266		
56		宏源期货	3,214		-878		
57		广州期货	3,089		808		
58		中融汇信	3,068		-5		
59		上海中期	2,823		332		
60		中州期货	2,731		15		
61		华信万达	2,704		81		
62		北京金鹏	2,489		581		
63		上海大陆	2,440		912		
64		国联期货	2,381		-399		
65		渤海期货	2,189		110		
66		中衍期货	2,182		258		
67		同信久恒	2,130		-43		
68		西部期货	2,124		-471		
69		创元期货	2,083		159		
70		倍特期货	2,040		286		
71		中银国际	1,926		-126		
72		福能期货	1,880		-1,893		
73		江苏新纪元	1,826		309		
74		锦泰期货	1,781		308		
75		东海期货	1,770		-54		
76		中原期货	1,754		144		
77		平安期货	1,725		-187		
78		华西期货	1,593		83		
79		恒泰期货	1,570		-302		
80		汇鑫期货	1,529		478		
81		道通期货	1,514		10		
82		金元期货	1,511		642		
83		中钢期货	1,468		54		
84		东兴期货	1,413		-201		
85		天风期货	1,306		446		
86		大越期货	1,264		202		
87		国都期货	1,165		44		
88		国金期货	1,141		239		
89		西南期货	948		-85		
90		大连良运	944		900		
91		中航期货	932		113		
92		深圳瑞龙	835		20		
93		大有期货	832		-55		
94		广永期货	825		30		
95		东方汇金	803		230		
96		华联期货	755		178		
97		民生期货	728		50		
98		盛达期货	686		158		
99		浙江新世纪	679		235		
100		银建期货	677		87		
101		江西瑞奇	657		-125		
102		集成期货	650		40		
103		招金期货	617		0		
104		财达期货	596		-169		
105		深圳金汇	515		-2		
106		南证期货	501		71		
107		兴业期货	494		17		
108		山金期货	474		-5		
109		铜冠金源	430		-2		
110		国元期货	403		-34		
111		长安期货	393		24		
112		德盛期货	388		-45		
113		华鑫期货	386		-12		
114		神华期货	384		50		
115		红塔期货	381		-669		
116		江苏东华	362		-53		
117		东方期货	354		-16		
118		海航期货	353		-1,167		
119		新晟期货	327		9		
120		先融期货	318		-60		
121		海证期货	297		0		
122		华创期货	294		53		
123		金石期货	270		24		
124		河北恒银	263		-5		
125		云晨期货	260		7		
126		上海浙石	250		-116		
127		鑫鼎盛期货	215		19		
128		天鸿期货	183		-20		
129		第一创业	151		1		
130		华龙期货	143		20		
131		湖南金信	140		-4		
132		和合期货	132		-23		
133		华金期货	130		68		
134		文峰期货	93		-79		
135		江信国盛	78		-8		
136		华闻期货	71		11		
137		天富期货	67		-7		
138		首创京都	66		-28		
139		和融期货	52		4		
140		九州期货	48		12		
141		津投期货	38		-7		
142		新疆天利	31		-22		
143		大通期货	25		5		
144		山西三立	20		7		
145		通惠期货	13		6		
146		黑龙江时代	7		0		
总计				954,109		48,693		

名次		会员简称	持卖单量	增减		
1		国投安信	77,476		4,376		
2		银河期货	52,407		4,770		
3		永安期货	46,753		-10,663		
4		东证期货	41,276		10,200		
5		一德期货	29,353		3,372		
6		建信期货	28,136		-2,802		
7		华泰期货	28,125		1,580		
8		海通期货	27,197		-455		
9		国泰君安	26,640		5,587		
10		申银万国	25,818		2,406		
11		方正中期	24,956		10,691		
12		大地期货	24,919		14,989		
13		中投期货	24,493		338		
14		中信期货	23,929		1,082		
15		中信建投	19,732		2,345		
16		光大期货	19,500		-1,382		
17		安粮期货	19,063		-253		
18		国贸期货	18,835		-64		
19		中钢期货	17,701		-29		
20		长江期货	16,319		-1,656		
21		招商期货	12,752		2,154		
22		五矿经易	12,106		5,495		
23		徽商期货	12,105		-2,482		
24		南华期货	11,901		5,738		
25		混沌天成	10,818		-2,070		
26		浙商期货	10,548		-3,504		
27		国信期货	10,502		155		
28		金瑞期货	10,222		-3,059		
29		中粮期货	10,161		581		
