								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20160318	

			期货公司会员	

名次		会员简称	成交量		增减		
1		华泰期货	54,760		28,705		
2		海通期货	40,574		21,299		
3		国泰君安	37,241		18,068		
4		永安期货	33,777		5,567		
5		方正中期	30,348		20,628		
6		光大期货	30,200		15,709		
7		华信万达	29,387		13,053		
8		申银万国	29,235		8,054		
9		兴证期货	28,719		10,089		
10		南华期货	27,515		11,072		
11		中信期货	25,306		10,256		
12		安粮期货	22,230		7,708		
13		东航期货	20,399		7,926		
14		徽商期货	19,185		2,747		
15		宏源期货	19,182		14,474		
16		广发期货	18,120		4,930		
17		国金期货	16,583		1,531		
18		东证期货	16,010		9,118		
19		国投期货	14,687		6,118		
20		中粮期货	14,132		5,052		
21		中投期货	13,264		11,345		
22		华安期货	12,680		6,550		
23		宝城期货	12,658		8,913		
24		银河期货	12,038		6,699		
25		中国国际	9,434		3,685		
26		中信建投	9,403		3,141		
27		大地期货	9,353		5,380		
28		广永期货	9,166		3,051		
29		新湖期货	8,220		-2,898		
30		同信久恒	7,769		5,046		
31		鲁证期货	7,594		3,398		
32		格林大华	7,382		1,439		
33		上海浙石	7,134		5,656		
34		东方汇金	6,727		3,116		
35		建信期货	6,586		3,354		
36		国海良时	6,585		3,334		
37		招金期货	6,523		1,163		
38		西部期货	6,315		3,792		
39		五矿经易	6,165		1,767		
40		大越期货	5,957		4,794		
41		一德期货	5,954		3,667		
42		长江期货	5,377		-394		
43		美尔雅期货	5,158		-3,917		
44		东兴期货	4,943		3,639		
45		信达期货	4,922		-3,203		
46		弘业期货	4,794		616		
47		上海大陆	4,660		3,407		
48		浙江新世纪	4,630		2,081		
49		瑞达期货	4,620		-1,776		
50		冠通期货	4,619		2,736		
51		创元期货	4,534		-195		
52		北京金鹏	4,377		3,898		
53		集成期货	4,236		2,229		
54		国信期货	4,030		1,539		
55		中衍期货	4,026		632		
56		北京首创	3,988		-3,387		
57		东海期货	3,855		1,989		
58		浙商期货	3,744		1,456		
59		中大期货	3,313		553		
60		上海中期	3,246		682		
61		国联期货	3,226		1,021		
62		中辉期货	3,130		-421		
63		国都期货	3,120		2,143		
64		招商期货	3,119		1,080		
65		迈科期货	2,791		734		
66		渤海期货	2,707		-1,056		
67		上海中财	2,595		310		
68		中原期货	2,453		1,672		
69		金瑞期货	2,402		1,309		
70		中融汇信	2,388		1,509		
71		英大期货	2,306		1,021		
72		深圳瑞龙	2,223		273		
73		中州期货	2,173		753		
74		海航东银	2,010		354		
75		天风期货	1,961		-6,241		
76		华融期货	1,882		987		
77		平安期货	1,778		1,069		
78		中航期货	1,714		4		
79		倍特期货	1,678		-667		
80		东吴期货	1,677		630		
81		津投期货	1,625		950		
82		广州期货	1,546		607		
83		金元期货	1,530		738		
84		国贸期货	1,471		432		
85		南证期货	1,460		878		
86		先融期货	1,442		756		
87		金石期货	1,339		167		
88		汇鑫期货	1,331		-1,960		
89		湖南金信	1,327		1,056		
90		中金期货	1,321		720		
91		德盛期货	1,293		513		
92		江苏新纪元	1,161		486		
93		福能期货	1,161		-2,368		
94		江西瑞奇	1,144		-208		
95		混沌天成	1,140		937		
96		神华期货	1,092		173		
97		华鑫期货	1,087		-283		
98		中钢期货	1,085		567		
99		大连良运	1,053		-46		
100		道通期货	1,022		-14		
101		锦泰期货	960		673		
102		铜冠金源	918		303		
103		首创京都	915		357		
104		华联期货	877		-409		
105		国元期货	831		-1,720		
106		华西期货	804		282		
107		国富期货	797		621		
108		大通期货	796		-893		
109		大有期货	793		212		
110		天鸿期货	784		597		
111		和合期货	762		90		
112		红塔期货	727		555		
113		山西三立	712		474		
114		恒泰期货	658		-538		
115		民生期货	624		457		
116		长安期货	609		-149		
117		新晟期货	552		368		
118		晟鑫期货	534		335		
119		河北恒银	496		139		
120		中银国际	484		218		
121		银建期货	466		355		
122		深圳金汇	406		-303		
123		江苏东华	397		205		
124		海证期货	388		-122		
125		上海东亚	376		-154		
126		华闻期货	341		95		
127		财达期货	306		-101		
128		华龙期货	289		-159		
129		盛达期货	274		195		
130		通惠期货	264		141		
131		天富期货	237		133		
132		云晨期货	235		175		
133		山金期货	217		136		
134		华创期货	184		66		
135		兴业期货	154		67		
136		第一创业	105		92		
137		西南期货	86		-78		
138		金谷期货	77		76		
139		文峰期货	72		-50		
140		新疆天利	59		41		
141		江信国盛	42		3		
142		东方期货	20		20		
143		鑫鼎盛期货	7		6		
144		和融期货	5		-7		
145		九州期货	2		-8		
总计				880,174		334,462		

名次		会员简称	持买单量	增减		
1		永安期货	26,773		-2,956		
2		华信万达	25,163		3,105		
3		方正中期	24,376		-17,491		
4		中信期货	21,298		-304		
5		华泰期货	17,007		-2,059		
6		国金期货	12,906		-6,830		
7		中粮期货	12,155		-6,041		
8		中投期货	10,454		4,953		
9		海通期货	9,799		-1,077		
10		新湖期货	6,925		-105		
11		兴证期货	6,742		-606		
12		东航期货	5,373		518		
13		国投期货	5,270		180		
14		摩根大通	5,194		0		
15		同信久恒	4,873		-4,611		
16		光大期货	4,863		-2,683		
17		宝城期货	3,976		-3,292		
18		广发期货	3,839		-949		
19		五矿经易	3,739		20		
20		银河期货	3,680		-486		
21		信达期货	3,264		271		
22		国泰君安	3,117		-5,678		
23		浙商期货	2,531		-16		
24		中国国际	1,799		571		
25		大地期货	1,713		-3,708		
26		中信建投	1,694		285		
27		美尔雅期货	1,586		573		
28		徽商期货	1,522		299		
29		东吴期货	1,515		-95		
30		国信期货	1,483		344		
31		平安期货	1,402		-148		
32		瑞达期货	1,401		-780		
33		国海良时	1,396		86		
34		上海中期	1,353		626		
35		申银万国	1,260		-431		
36		南华期货	1,187		-1,903		
37		中辉期货	1,135		259		
38		北京首创	1,095		-197		
39		宏源期货	1,094		-7,998		
40		国联期货	1,075		288		
41		东海期货	1,055		570		
42		格林大华	929		111		
43		中大期货	845		505		
44		东证期货	820		181		
45		中衍期货	723		177		
46		东兴期货	700		444		
47		建信期货	670		77		
48		弘业期货	647		-154		
49		长江期货	645		-340		
50		东方汇金	632		142		
51		恒泰期货	529		-4		
52		国贸期货	522		49		
53		英大期货	478		-37		
54		招商期货	472		237		
55		鲁证期货	468		-779		
56		津投期货	462		197		
57		中航期货	461		290		
58		倍特期货	458		-121		
59		中融汇信	457		-287		
60		华安期货	454		266		
61		渤海期货	449		-288		
62		华鑫期货	412		-252		
63		金瑞期货	405		-62		
64		北京金鹏	395		64		
65		广州期货	370		70		
66		大越期货	369		-27		
