								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20170123	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	64,715		-7,352		
2		国投安信	21,483		-1,969		
3		永安期货	18,428		4,383		
4		东证期货	18,221		-4,344		
5		中信期货	14,206		368		
6		广发期货	13,182		-1,840		
7		国富期货	12,688		-1,794		
8		国泰君安	12,291		-3,107		
9		华泰期货	11,379		-1,294		
10		兴证期货	11,283		3,330		
11		方正中期	11,074		-6,802		
12		东航期货	10,198		682		
13		徽商期货	10,047		-3,387		
14		格林大华	8,600		4,717		
15		银河期货	7,911		-23,005		
16		南华期货	7,849		-271		
17		新湖期货	7,655		49		
18		光大期货	7,505		-10,702		
19		中国国际	7,477		3,523		
20		华信万达	7,373		-65		
21		申银万国	7,152		1,260		
22		国信期货	6,899		-3,548		
23		金瑞期货	6,775		3,627		
24		鲁证期货	6,706		-8,171		
25		东海期货	6,574		2,294		
26		广州金控	5,988		-2,417		
27		英大期货	5,841		-4,762		
28		中信建投	5,437		-1,954		
29		华安期货	5,332		3,886		
30		中融汇信	4,578		1,115		
31		浙商期货	4,313		-1,252		
32		长江期货	4,163		-4,750		
33		西部期货	4,091		-469		
34		弘业期货	4,078		326		
35		宏源期货	3,805		-1,944		
36		大地期货	3,745		293		
37		上海中期	3,497		1,127		
38		中粮期货	3,484		-1,524		
39		华西期货	3,398		1,559		
40		招商期货	3,339		-1,318		
41		国联期货	3,262		819		
42		宝城期货	2,961		1,132		
43		国海良时	2,926		372		
44		上海中财	2,692		921		
45		五矿经易	2,624		-1,550		
46		中辉期货	2,534		-329		
47		金元期货	2,506		-255		
48		华鑫期货	2,482		-2,718		
49		迈科期货	2,387		109		
50		北京首创	2,371		-807		
51		建信期货	2,331		-3,353		
52		中衍期货	2,292		-2,000		
53		江西瑞奇	2,274		1,298		
54		信达期货	2,271		-215		
55		冠通期货	2,235		509		
56		一德期货	2,216		-2,965		
57		安粮期货	2,190		40		
58		中银国际	2,118		377		
59		招金期货	2,107		-1,496		
60		渤海期货	2,099		71		
61		恒泰期货	1,841		662		
62		中原期货	1,819		497		
63		美尔雅期货	1,778		-182		
64		上海大陆	1,700		-500		
65		中大期货	1,682		-601		
66		华创期货	1,646		-1,974		
67		东兴期货	1,620		31		
68		广州期货	1,606		-1,172		
69		江苏新纪元	1,522		-177		
70		中航期货	1,504		-53		
71		浙江新世纪	1,503		-605		
72		东吴期货	1,401		435		
73		平安期货	1,324		151		
74		福能期货	1,282		-583		
75		国都期货	1,208		-174		
76		中投期货	1,177		-156		
77		华闻期货	1,167		-216		
78		大有期货	1,130		229		
79		先融期货	1,127		-349		
80		瑞达期货	1,046		-1,154		
81		铜冠金源	1,033		-677		
82		东方汇金	1,020		-133		
83		兴业期货	1,001		-138		
84		混沌天成	984		248		
85		上海东亚	964		-2,424		
86		深圳瑞龙	963		-331		
87		德盛期货	961		177		
88		国金期货	960		-3,384		
89		创元期货	929		-1,340		
90		华联期货	902		-354		
91		国贸期货	895		-1,353		
92		海航期货	893		52		
93		大连良运	829		423		
94		国元期货	818		-512		
95		南证期货	817		145		
96		倍特期货	804		-2,993		
97		北京金鹏	786		494		
98		华龙期货	781		356		
99		集成期货	757		27		
100		大越期货	727		-670		
101		津投期货	718		287		
102		锦泰期货	710		-2,528		
103		华融期货	546		-460		
104		西南期货	536		-272		
105		汇鑫期货	508		-456		
106		天风期货	504		-745		
107		神华期货	500		133		
108		长安期货	488		287		
109		财达期货	484		-595		
110		中钢期货	442		-220		
111		红塔期货	398		129		
112		同信久恒	355		-76		
113		民生期货	333		-39		
114		中州期货	316		-48		
115		深圳金汇	314		234		
116		中天期货	306		-109		
117		盛达期货	247		-563		
118		江苏东华	220		-366		
119		首创京都	195		153		
120		新晟期货	182		-314		
121		文峰期货	172		-141		
122		中金期货	164		-1,466		
123		金信期货	150		64		
124		海证期货	138		-594		
125		通惠期货	116		95		
126		云晨期货	103		-259		
127		和合期货	101		-88		
128		山西三立	99		-86		
129		第一创业	94		-77		
130		金石期货	87		-255		
131		九州期货	83		-29		
132		河北恒银	69		0		
133		晟鑫期货	60		-132		
134		江信国盛	60		45		
135		山金期货	53		2		
136		道通期货	44		-25		
137		东方期货	34		-8		
138		天富期货	30		-62		
139		新疆天利	26		19		
140		华金期货	22		-45		
141		大通期货	21		-13		
142		鑫鼎盛期货	20		3		
143		天鸿期货	13		-129		
144		黑龙江时代	6		-29		
145		和融期货	2		0		
总计				488,614		-102,598	

名次		会员简称	持买单量	增减		
1		海通期货	32,182		897		
2		浙商期货	26,119		491		
3		国泰君安	23,930		708		
4		华信万达	21,256		-2,803		
5		华泰期货	20,086		-200		
6		鲁证期货	19,536		-383		
7		永安期货	16,671		-4,224		
8		国投安信	16,597		941		
9		申银万国	16,322		163		
10		大地期货	14,973		1,468		
11		广发期货	14,804		-1,710		
12		格林大华	13,262		98		
13		南华期货	12,949		135		
14		中信期货	12,346		213		
15		中粮期货	12,237		-266		
16		中银国际	12,067		1,647		
17		上海东亚	12,062		212		
18		方正中期	11,440		-1,519		
19		银河期货	10,944		-1,805		
20		国海良时	10,766		130		
21		国信期货	10,593		1,224		
22		兴证期货	10,252		2,637		
23		徽商期货	10,087		-467		
24		东航期货	10,068		955		
25		中国国际	9,688		-745		
26		宝城期货	9,569		586		
27		西部期货	8,929		65		
28		英大期货	8,705		355		
29		光大期货	8,474		-171		
30		宏源期货	8,371		-224		
31		国联期货	8,128		1,789		
32		金瑞期货	8,072		-667		
33		广州金控	7,961		128		
34		东证期货	7,611		-2,001		
35		一德期货	7,518		-224		
36		大越期货	7,373		108		
37		中信建投	6,997		23		
38		新湖期货	6,954		-202		
39		上海中期	6,867		34		
40		长江期货	6,696		-881		
41		弘业期货	6,443		-623		
42		中大期货	5,488		-522		
43		中辉期货	5,232		2		
44		中投期货	4,944		-1		
45		招商期货	4,900		648		
46		信达期货	4,860		597		
47		江西瑞奇	4,436		-21		
48		先融期货	4,023		61		
49		东海期货	3,948		-447		
50		中天期货	3,912		-81		
51		广州期货	3,455		711		
52		美尔雅期货	3,422		-157		
53		渤海期货	3,237		-343		
54		北京首创	3,235		194		
55		建信期货	3,188		625		
56		五矿经易	3,142		100		
57		金元期货	3,085		-1,053		
58		中金期货	2,951		65		
59		新晟期货	2,884		-50		
60		浙江新世纪	2,803		480		
61		瑞达期货	2,741		114		
62		北京金鹏	2,616		-24		
63		华创期货	2,553		-629		
64		迈科期货	2,497		-312		
65		中衍期货	2,449		-12		
66		国富期货	2,298		258		
67		东吴期货	2,277		337		
68		华联期货	2,249		-199		
69		福能期货	2,229		-401		
70		华西期货	2,223		1,071		
71		江苏新纪元	2,189		-580		
72		国金期货	2,153		29		
73		国贸期货	2,128		-53		
74		国元期货	2,125		-24		
75		中原期货	2,017		83		
76		平安期货	1,969		-84		
77		中航期货	1,865		-78		
78		倍特期货	1,776		-24		
79		国都期货	1,771		-258		
80		德盛期货	1,684		-28		
81		冠通期货	1,677		352		
82		东兴期货	1,609		183		
83		神华期货	1,595		-79		
84		安粮期货	1,594		-78		
85		华安期货	1,589		-51		
86		招金期货	1,559		235		
87		云晨期货	1,482		-31		
88		南证期货	1,394		-248		
89		混沌天成	1,336		291		
90		华闻期货	1,315		-9		
91		恒泰期货	1,308		-639		
92		大有期货	1,302		-162		
93		创元期货	1,285		75		
94		中融汇信	1,249		68		
95		民生期货	1,137		-16		
96		集成期货	1,135		-23		
97		红塔期货	1,108		-71		
98		东方汇金	1,033		-73		
99		深圳瑞龙	994		-411		
100		锦泰期货	868		-302		
101		华鑫期货	840		24		
102		天风期货	821		164		
103		海航期货	774		-80		
104		中州期货	723		-68		
105		西南期货	708		19		
106		上海中财	654		81		
107		大连良运	625		-37		
108		铜冠金源	610		264		
109		汇鑫期货	600		-17		
110		江苏东华	549		-29		
111		九州期货	537		-7		
112		金信期货	469		22		
113		财达期货	467		-276		
114		中钢期货	453		-40		
115		上海大陆	451		129		
116		长安期货	424		-12		
117		首创京都	419		40		
118		津投期货	404		-176		
119		河北恒银	401		-17		
120		和合期货	394		-34		
121		第一创业	380		-12		
122		海证期货	379		14		
123		华龙期货	365		-71		
124		盛达期货	357		45		
125		同信久恒	342		-15		
126		华融期货	326		20		
127		深圳金汇	318		-34		
128		道通期货	317		1		
129		金石期货	306		-16		
130		兴业期货	298		-43		
131		文峰期货	253		35		
132		华金期货	246		20		
133		江信国盛	158		20		
134		山西三立	150		7		
135		摩根大通	145		0		
136		天富期货	142		-8		
137		通惠期货	118		70		
138		山金期货	108		-5		
139		晟鑫期货	90		0		
140		黑龙江时代	82		-4		
141		新疆天利	46		-24		
142		大通期货	37		-5		
143		天鸿期货	26		-3		
144		鑫鼎盛期货	21		-10		
145		东方期货	12		0		
146		上海浙石	11		0		
147		和融期货	5		0		
