								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20160928	

			期货公司会员	

名次		会员简称	成交量		增减		
1		国泰君安	28,964		10,512		
2		海通期货	22,105		-2,946		
3		永安期货	21,757		-7,890		
4		华泰期货	20,226		1,044		
5		徽商期货	20,020		-1,872		
6		广永期货	17,448		1,588		
7		鲁证期货	17,366		5,633		
8		中信期货	15,555		-252		
9		国投安信	15,234		-9,576		
10		东证期货	14,680		-1,454		
11		华安期货	12,970		-2,925		
12		东航期货	12,593		2,069		
13		光大期货	12,200		364		
14		华鑫期货	11,521		6,445		
15		方正中期	11,446		-95		
16		浙商期货	11,127		4,991		
17		招商期货	10,606		-1,981		
18		长江期货	9,774		4,847		
19		南华期货	8,994		601		
20		中信建投	8,962		3,323		
21		美尔雅期货	8,785		-2,993		
22		兴证期货	8,775		746		
23		申银万国	7,990		1,712		
24		华信万达	7,878		-12,129		
25		广发期货	7,769		-1,973		
26		中粮期货	6,891		1,968		
27		大有期货	6,707		6,018		
28		中辉期货	6,483		2,746		
29		宏源期货	6,346		-835		
30		英大期货	6,173		4,790		
31		上海大陆	5,887		3,620		
32		中大期货	5,362		2,037		
33		国贸期货	5,260		1,475		
34		招金期货	4,837		1,275		
35		银河期货	4,444		-809		
36		国海良时	4,383		-847		
37		国信期货	4,306		717		
38		中国国际	4,173		-2,730		
39		国都期货	4,078		2,296		
40		新湖期货	3,801		707		
41		安粮期货	3,741		-869		
42		北京首创	3,687		-233		
43		东海期货	3,624		313		
44		金瑞期货	3,536		1,138		
45		弘业期货	3,472		-1,381		
46		中衍期货	3,461		891		
47		冠通期货	3,439		1,309		
48		瑞达期货	3,348		-3,534		
49		东吴期货	3,225		471		
50		上海中期	3,148		-108		
51		建信期货	3,144		2,123		
52		国金期货	3,026		3		
53		西部期货	2,786		-1,717		
54		大地期货	2,710		-503		
55		平安期货	2,630		552		
56		华联期货	2,587		230		
57		渤海期货	2,561		-1,035		
58		宝城期货	2,558		761		
59		一德期货	2,302		-1,464		
60		中航期货	2,296		-1,628		
61		汇鑫期货	2,274		1,499		
62		迈科期货	2,148		162		
63		倍特期货	2,132		-823		
64		江苏新纪元	2,128		361		
65		中投期货	2,046		394		
66		金元期货	1,974		-98		
67		国富期货	1,970		-745		
68		五矿经易	1,954		935		
69		集成期货	1,767		462		
70		格林大华	1,764		-373		
71		国元期货	1,747		600		
72		恒泰期货	1,741		-16		
73		先融期货	1,686		519		
74		福能期货	1,623		498		
75		南证期货	1,620		106		
76		东方汇金	1,617		-2,139		
77		创元期货	1,564		446		
78		海航期货	1,551		-762		
79		首创京都	1,514		-1,724		
80		国联期货	1,509		-3,552		
81		华西期货	1,506		176		
82		深圳瑞龙	1,451		136		
83		上海中财	1,432		795		
84		广州期货	1,410		388		
85		德盛期货	1,398		357		
86		大越期货	1,398		503		
87		信达期货	1,326		-622		
88		江苏东华	1,322		314		
89		混沌天成	1,311		544		
90		江西瑞奇	1,263		-444		
91		大通期货	1,227		855		
92		云晨期货	1,136		554		
93		津投期货	1,048		138		
94		铜冠金源	1,025		-493		
95		同信久恒	990		-299		
96		神华期货	945		380		
97		文峰期货	945		656		
98		东兴期货	873		-1,331		
99		江信国盛	862		450		
100		财达期货	839		-110		
101		西南期货	758		125		
102		中融汇信	748		-3,876		
103		浙江新世纪	701		-65		
104		盛达期货	680		655		
105		华融期货	618		-799		
106		锦泰期货	616		-19		
107		中州期货	595		59		
108		中钢期货	508		-170		
109		上海东亚	508		-397		
110		中原期货	507		-642		
111		海证期货	498		-84		
112		民生期货	495		-47		
113		大连良运	444		307		
114		天风期货	441		-11		
115		金石期货	424		-90		
116		长安期货	419		-4,142		
117		华创期货	414		89		
118		和合期货	398		-155		
119		第一创业	366		180		
120		深圳金汇	361		26		
121		北京金鹏	360		164		
122		中天期货	336		-656		
123		华闻期货	335		65		
124		湖南金信	323		102		
125		红塔期货	253		-259		
126		天富期货	223		73		
127		新晟期货	214		-253		
