								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20160129	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	49,810		25,241		
2		中信期货	37,430		10,602		
3		永安期货	27,694		10,376		
4		光大期货	24,069		13,204		
5		安粮期货	22,205		-2,560		
6		国泰君安	19,575		-3,474		
7		兴证期货	18,994		3,169		
8		华泰期货	18,767		3,887		
9		东证期货	17,425		2,158		
10		东航期货	16,835		3,820		
11		华信万达	14,767		6,478		
12		徽商期货	14,668		2,274		
13		金元期货	14,522		11,240		
14		申银万国	12,888		3,858		
15		国投期货	10,983		495		
16		银河期货	10,375		-2,220		
17		中粮期货	10,157		-1,931		
18		广发期货	10,089		-3,383		
19		南华期货	8,714		-836		
20		中辉期货	7,714		3,152		
21		国金期货	6,955		-8,577		
22		集成期货	6,859		-1,037		
23		华安期货	6,667		-928		
24		中国国际	6,639		3,097		
25		美尔雅期货	6,611		-3,485		
26		英大期货	6,539		4,989		
27		方正中期	6,237		-1,669		
28		新湖期货	5,602		772		
29		东海期货	5,571		4,303		
30		鲁证期货	5,534		2,470		
31		宝城期货	5,458		-3,846		
32		天鸿期货	5,325		2,137		
33		一德期货	5,119		1,860		
34		国信期货	4,848		2,548		
35		北京首创	4,828		-971		
36		宏源期货	4,459		-1,039		
37		上海中期	4,385		2,181		
38		冠通期货	4,342		-660		
39		中信建投	3,907		-4,325		
40		创元期货	3,836		680		
41		国海良时	3,443		860		
42		中衍期货	3,361		-773		
43		天风期货	3,030		-337		
44		华鑫期货	2,845		-2,859		
45		大越期货	2,742		1,512		
46		建信期货	2,713		1,073		
47		迈科期货	2,636		-1,463		
48		弘业期货	2,510		294		
49		混沌天成	2,485		-3,225		
50		招商期货	2,480		-5,199		
51		广永期货	2,422		174		
52		中投期货	2,249		-1,045		
53		长江期货	2,221		-538		
54		江苏新纪元	2,209		1,757		
55		同信久恒	2,146		818		
56		国都期货	1,994		-1,921		
57		中原期货	1,918		899		
58		中大期货	1,845		485		
59		中银国际	1,752		1,464		
60		东方汇金	1,751		-285		
61		信达期货	1,746		-725		
62		浙商期货	1,713		-778		
63		五矿经易	1,644		46		
64		国元期货	1,632		457		
65		格林大华	1,524		-1,494		
66		深圳瑞龙	1,504		73		
67		汇鑫期货	1,338		748		
68		北京金鹏	1,322		705		
69		金瑞期货	1,249		-4,267		
70		东兴期货	1,119		115		
71		华联期货	1,113		476		
72		瑞达期货	1,094		-584		
73		大有期货	1,042		727		
74		国联期货	1,038		-4,692		
75		上海中财	974		-1,083		
76		西部期货	971		323		
77		先融期货	968		105		
78		浙江新世纪	933		-1,256		
79		长安期货	910		-118		
80		首创京都	872		144		
81		大地期货	776		-713		
82		中航期货	775		139		
83		东吴期货	703		-121		
84		海航东银	685		-142		
85		倍特期货	679		222		
86		上海浙石	631		235		
87		德盛期货	624		475		
88		金石期货	622		422		
89		福能期货	612		-486		
90		民生期货	596		324		
91		江西瑞奇	594		278		
92		铜冠金源	571		-208		
93		华融期货	561		156		
94		广州期货	560		25		
95		江苏东华	554		291		
96		和合期货	553		7		
97		华西期货	541		456		
98		招金期货	530		87		
99		大连良运	506		217		
100		山金期货	504		30		
101		中州期货	500		0		
102		津投期货	484		112		
103		神华期货	459		7		
104		财达期货	393		312		
105		红塔期货	379		34		
106		西南期货	337		-384		
107		上海东亚	327		268		
108		国贸期货	314		-1,083		
109		锦泰期货	285		-843		
110		上海大陆	281		-278		
111		中融汇信	280		-236		
112		渤海期货	277		-1,308		
113		第一创业	266		48		
114		道通期货	263		42		
115		海证期货	232		15		
116		大通期货	214		-1,503		
117		恒泰期货	208		-1,367		
118		云晨期货	199		-803		
119		晟鑫期货	194		94		
120		中钢期货	174		-50		
121		湖南金信	172		-51		
122		深圳金汇	161		-565		
123		中金期货	153		-134		
124		南证期货	144		-1,336		
125		新晟期货	141		18		
126		天富期货	140		-477		
127		银建期货	139		-47		
128		文峰期货	127		-22		
129		华创期货	107		-260		
130		华龙期货	101		63		
131		山西三立	93		-22		
132		兴业期货	92		71		
133		华闻期货	88		-85		
134		盛达期货	85		-90		
135		新疆天利	78		30		
136		河北恒银	71		-178		
137		平安期货	50		-38		
138		鑫鼎盛期货	35		0		
139		通惠期货	22		0		
140		国富期货	9		-121		
141		江信国盛	4		2		
142		九州期货	4		-16		
143		金谷期货	4		-73		
144		和融期货	1		-5		
总计				571,124		56,098		

名次		会员简称	持买单量	增减		
1		中粮期货	35,824		4,786		
2		新湖期货	24,991		363		
3		华信万达	20,188		-270		
4		永安期货	19,611		2,634		
5		海通期货	19,283		-10,523		
6		国泰君安	17,523		2,647		
7		中投期货	17,433		15		
8		方正中期	16,585		1,765		
9		国金期货	13,957		190		
10		中信期货	11,627		-2,558		
11		华鑫期货	10,306		1,628		
12		混沌天成	9,987		1,167		
13		北京首创	9,000		149		
14		东航期货	6,734		533		
15		银河期货	6,269		-772		
16		格林大华	6,053		-23		
17		国投期货	5,971		-421		
18		广发期货	5,196		-180		
19		摩根大通	5,194		0		
20		国都期货	5,048		-26		
21		华泰期货	4,531		-2,332		
22		光大期货	4,526		-2,537		
23		英大期货	4,478		2,466		
24		国信期货	3,916		-1,966		
25		东证期货	3,793		818		
26		一德期货	3,434		-250		
27		同信久恒	3,343		25		
28		首创京都	3,104		558		
29		申银万国	2,957		-464		
30		兴证期货	2,575		-4,693		
31		浙商期货	2,529		4		
32		国海良时	2,274		-629		
33		中国国际	2,265		-76		
34		鲁证期货	2,141		928		
35		中融汇信	2,114		-40		
36		国联期货	2,079		-23		
37		宏源期货	1,929		157		
38		大地期货	1,811		15		
39		大越期货	1,719		-197		
40		恒泰期货	1,695		-1		
41		金瑞期货	1,603		446		
42		宝城期货	1,517		240		
43		徽商期货	1,512		-251		
44		瑞达期货	1,464		102		
45		安粮期货	1,456		465		
46		上海中期	1,391		-136		
47		天风期货	1,310		-570		
48		中辉期货	1,289		-447		
49		大有期货	1,272		45		
50		南华期货	1,223		-1,117		
51		中信建投	1,202		134		
52		云晨期货	1,191		15		
53		五矿经易	1,190		-257		
54		招商期货	1,058		-345		
55		信达期货	1,042		-44		
56		中大期货	992		-468		
57		中原期货	927		753		
58		锦泰期货	887		-19		
59		长江期货	883		-108		
60		大连良运	823		52		
61		平安期货	741		24		
62		弘业期货	724		-131		
63		美尔雅期货	688		-957		
64		福能期货	663		81		
65		西部期货	574		-171		
66		迈科期货	564		-81		
67		汇鑫期货	540		123		
68		华安期货	419		-174		
69		创元期货	418		-104		
70		中衍期货	373		6		
71		渤海期货	343		6		
72		国贸期货	332		-24		
73		东方汇金	323		-236		
74		中州期货	300		52		
75		广永期货	252		-58		
76		浙江新世纪	248		-618		
77		深圳瑞龙	244		-39		
78		中航期货	236		-39		
79		倍特期货	233		-37		
80		东海期货	228		-1,116		
81		华融期货	210		-8		
82		海证期货	201		11		
83		华西期货	196		-36		
84		津投期货	191		45		
85		招金期货	190		16		
86		上海中财	187		-135		
87		华联期货	173		1		
88		北京金鹏	172		25		
89		长安期货	171		41		
90		红塔期货	170		-1		
91		建信期货	167		-54		
92		深圳金汇	167		-62		
93		上海大陆	146		17		
94		江苏新纪元	141		-866		
95		财达期货	139		48		
96		银建期货	135		93		
97		中钢期货	131		-12		
98		和合期货	123		-97		
99		上海东亚	120		-285		
100		集成期货	119		16		
101		金元期货	109		-11		
102		江西瑞奇	109		-305		
103		广州期货	106		-8		
104		文峰期货	103		20		
105		国元期货	103		-89		
106		东兴期货	101		-19		
107		河北恒银	98		-11		
108		湖南金信	91		-9		
109		南证期货	89		-18		
110		东吴期货	87		-237		
111		神华期货	82		-7		
112		冠通期货	79		-50		
113		新晟期货	75		-1		
114		海航东银	67		-6		
115		山西三立	61		2		
116		先融期货	61		-39		
117		金石期货	57		-19		
118		民生期货	55		14		
119		铜冠金源	43		-164		
120		上海浙石	30		-343		
121		天富期货	24		-9		
122		华创期货	21		-8		
123		德盛期货	20		-39		
124		金谷期货	17		-4		
125		江苏东华	17		-14		
126		中银国际	14		-73		
127		大通期货	13		-14		
128		西南期货	13		-300		
129		中金期货	12		1		
130		新疆天利	11		9		
131		黑龙江时代	9		0		
132		兴业期货	8		0		
133		晟鑫期货	7		-45		
134		第一创业	6		2		
135		盛达期货	6		0		
136		国富期货	5		0		
137		华闻期货	5		-22		
138		江信国盛	1		0		
139		鑫鼎盛期货	1		-4		
140		和融期货	1		1		
141		华龙期货	1		-18		
142		山金期货	1		0		
143		道通期货	0		-2		
144		天鸿期货	0		-55		
总计				361,736		-15,273		

名次		会员简称	持卖单量	增减		
1		永安期货	40,150		-4,120		
2		海通期货	35,340		2,023		
3		国投期货	24,283		-1,966		
4		光大期货	14,674		-6,100		
5		中信期货	13,202		-532		
6		国泰君安	11,851		-1,700		
7		浙商期货	11,178		-89		
8		东证期货	11,104		-4,379		
9		格林大华	10,565		577		
10		建信期货	10,329		863		
11		东航期货	8,898		1,392		
12		宝城期货	7,719		-206		
13		天鸿期货	7,581		2		
14		新湖期货	7,260		789		
15		申银万国	7,035		1,610		
16		国海良时	6,747		-688		
17		银河期货	6,675		59		
18		北京首创	6,105		-1,293		
19		兴证期货	5,283		1,851		
20		中国国际	5,266		127		
21		中金期货	4,944		-142		
22		华泰期货	4,929		-105		
23		方正中期	4,630		-158		
24		广发期货	4,397		-1,005		
25		中粮期货	3,310		-2,719		
26		东兴期货	3,130		-32		
27		华联期货	3,003		658		
28		深圳瑞龙	2,841		-113		
29		南华期货	2,834		-279		
30		安粮期货	2,716		406		
31		西部期货	2,552		292		
32		一德期货	2,512		1,639		
33		中信建投	2,478		205		
34		国联期货	2,299		-83		
35		广永期货	2,233		-552		
36		创元期货	2,161		-80		
37		中融汇信	2,060		10		
38		云晨期货	1,939		0		
39		大地期货	1,894		-199		
40		鲁证期货	1,806		-124		
41		国信期货	1,773		1,052		
42		徽商期货	1,765		-169		
43		信达期货	1,763		-598		
44		宏源期货	1,607		106		
45		华安期货	1,596		-135		
46		中投期货	1,520		24		
47		弘业期货	1,507		-603		
48		中衍期货	1,398		-183		
49		中辉期货	1,363		-733		
50		华鑫期货	1,321		7		
51		瑞达期货	1,247		-298		
52		华信万达	1,204		-547		
53		美尔雅期货	1,164		-184		
54		道通期货	1,109		-77		
55		汇鑫期货	1,075		-811		
56		五矿经易	1,029		-65		
57		中航期货	1,020		10		
58		大越期货	995		721		
59		山西三立	981		17		
60		上海中期	975		163		
61		浙江新世纪	971		53		
62		中原期货	966		761		
63		东海期货	948		759		
64		上海中财	893		221		
65		天风期货	890		264		
66		江苏新纪元	787		53		
67		迈科期货	775		107		
68		招商期货	740		-9		
69		中大期货	728		-73		
70		混沌天成	687		-30		
71		东吴期货	680		218		
72		国富期货	674		-9		
73		冠通期货	666		-14		
74		大通期货	648		188		
75		倍特期货	602		170		
76		大有期货	572		171		
77		海航东银	562		-393		
78		红塔期货	514		-98		
79		长江期货	502		-261		
80		华融期货	496		21		
81		东方汇金	483		-37		
82		九州期货	470		-4		
83		国元期货	461		219		
84		广州期货	453		-18		
85		国都期货	434		-86		
86		德盛期货	420		-9		
87		中州期货	399		-118		
88		大连良运	345		-72		
89		集成期货	343		-13		
90		金元期货	333		-223		
91		福能期货	325		-53		
92		金瑞期货	325		-369		
