								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20170329	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	120,726		46,086		
2		国投安信	52,498		31,574		
3		中信期货	43,292		20,902		
4		徽商期货	39,323		19,752		
5		永安期货	33,866		1,073		
6		华安期货	31,419		24,975		
7		浙商期货	30,355		21,874		
8		金元期货	29,614		25,984		
9		东航期货	28,177		12,041		
10		方正中期	25,923		6,729		
11		光大期货	23,486		6,695		
12		国泰君安	20,903		11,158		
13		广州金控	20,170		4,891		
14		华泰期货	19,846		7,140		
15		南华期货	19,572		11,825		
16		中信建投	19,424		9,601		
17		鲁证期货	19,044		8,484		
18		兴证期货	18,862		7,053		
19		东证期货	17,951		3,211		
20		广发期货	17,667		6,145		
21		申银万国	16,297		10,435		
22		新湖期货	15,836		11,036		
23		创元期货	15,615		11,864		
24		渤海期货	15,544		11,547		
25		西部期货	14,534		6,426		
26		华信万达	14,399		-111		
27		弘业期货	13,989		5,319		
28		国信期货	13,335		-1,092		
29		金瑞期货	13,192		4,635		
30		银河期货	12,988		6,125		
31		国富期货	12,431		9,596		
32		北京首创	12,110		8,577		
33		中粮期货	11,451		1,862		
34		瑞达期货	11,340		7,565		
35		宏源期货	10,056		4,763		
36		中国国际	9,731		6,043		
37		格林大华	9,025		3,302		
38		中融汇信	8,992		2,639		
39		东方汇金	8,989		7,545		
40		招商期货	8,968		2,697		
41		华鑫期货	8,910		5,321		
42		宝城期货	7,682		5,499		
43		五矿经易	7,625		2,330		
44		国都期货	7,621		-1,037		
45		长江期货	7,548		754		
46		东吴期货	6,648		5,904		
47		一德期货	6,400		3,184		
48		国联期货	6,336		2,487		
49		安粮期货	6,127		3,157		
50		迈科期货	6,003		3,627		
51		上海中期	5,803		921		
52		锦泰期货	5,779		4,714		
53		大地期货	5,659		-2,042		
54		中大期货	5,414		1,179		
55		国金期货	5,370		2,539		
56		信达期货	4,739		3,023		
57		国海良时	4,646		1,417		
58		中衍期货	4,642		2,009		
