								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20170215	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	50,218		-12,514		
2		国投安信	22,403		-25,021		
3		东证期货	21,964		-10,550		
4		中信期货	17,382		-4,495		
5		徽商期货	17,117		-8,098		
6		永安期货	16,330		-1,254		
7		招商期货	13,103		-6,352		
8		光大期货	12,672		-4,927		
9		中粮期货	12,438		2,587		
10		华信万达	10,774		456		
11		国泰君安	10,630		-4,586		
12		西部期货	10,560		-4,682		
13		银河期货	10,054		235		
14		华泰期货	9,837		-4,981		
15		广州金控	8,840		-5,762		
16		东航期货	8,282		-12,893		
17		新湖期货	8,087		-1,274		
18		方正中期	8,019		-5,215		
19		鲁证期货	7,914		1,333		
20		中国国际	7,782		1,354		
21		兴证期货	7,575		-5,540		
22		格林大华	7,364		1,337		
23		金瑞期货	7,300		-2,255		
24		广发期货	7,238		-4,347		
25		中信建投	6,809		-4,612		
26		国信期货	6,719		-1,774		
27		安粮期货	6,425		1,083		
28		上海东亚	6,173		-3,099		
29		浙商期货	5,786		686		
30		申银万国	5,641		-2,532		
31		南华期货	5,469		-4,493		
32		弘业期货	4,786		-3,047		
33		金元期货	4,776		-3,167		
34		宏源期货	4,390		-2,531		
35		五矿经易	4,315		1,379		
36		建信期货	4,013		-679		
37		华安期货	3,698		-2,607		
38		信达期货	3,698		863		
39		集成期货	3,697		1,381		
40		国富期货	3,558		-2,551		
41		中衍期货	3,475		-1,083		
42		上海中期	3,449		-701		
43		迈科期货	3,445		-2,604		
44		宝城期货	3,411		-1,915		
45		长江期货	3,230		-2,000		
46		国海良时	3,213		-3,007		
47		倍特期货	3,190		1,396		
48		天风期货	3,170		1,850		
49		东方汇金	3,048		1,162		
50		大地期货	3,037		-2,767		
51		东海期货	2,863		-864		
52		国都期货	2,854		2,376		
53		北京首创	2,666		-2,051		
54		一德期货	2,480		-2,764		
55		美尔雅期货	2,381		142		
56		瑞达期货	2,328		-1,279		
57		华西期货	2,324		789		
58		大有期货	2,319		-37		
59		北京金鹏	2,283		1,169		
60		英大期货	2,114		-2,061		
61		平安期货	2,058		426		
62		铜冠金源	2,019		670		
63		创元期货	2,012		-1,447		
64		冠通期货	1,934		-531		
65		浙江新世纪	1,862		786		
66		东吴期货	1,861		-57		
67		中投期货	1,830		-1,492		
68		国联期货	1,769		-2,653		
69		东兴期货	1,648		962		
70		云晨期货	1,610		-2,286		
71		国贸期货	1,535		-1,154		
72		中辉期货	1,507		-1,794		
73		先融期货	1,506		690		
74		中融汇信	1,473		-482		
75		上海大陆	1,403		-809		
76		首创京都	1,378		1,046		
77		同信久恒	1,288		-256		
78		中大期货	1,279		-2,272		
79		渤海期货	1,275		-1,724		
80		广州期货	1,273		-3,811		
81		大越期货	1,265		-473		
82		上海中财	1,166		-914		
83		德盛期货	1,125		-188		
84		中航期货	1,098		-17		
85		金石期货	1,070		413		
86		深圳瑞龙	1,030		39		
87		国金期货	1,015		-697		
88		江西瑞奇	988		-1,009		
89		海航期货	955		-376		
90		国元期货	947		-297		
91		福能期货	934		-1,538		
92		新纪元期货	932		-820		
93		红塔期货	917		529		
94		新晟期货	854		275		
95		民生期货	849		-83		
96		华创期货	840		-689		
97		华联期货	826		-625		
98		华闻期货	822		-56		
99		中原期货	806		-452		
100		招金期货	801		-53		
101		中金期货	724		-125		
102		中钢期货	666		346		
103		津投期货	655		213		
104		大连良运	636		89		
105		江苏东华	636		-1,724		
106		华鑫期货	617		-154		
107		混沌天成	606		-444		
108		恒泰期货	586		-1,239		
109		财达期货	579		-182		
110		和合期货	554		187		
111		中州期货	551		-20		
112		锦泰期货	531		-124		
113		中天期货	447		-774		
