								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20150918	

			期货公司会员	

名次		会员简称	成交量		增减		
1		万达期货	10,712		6,967		
2		永安期货	8,020		5,104		
3		新湖期货	7,588		4,110		
4		申银万国	6,069		4,944		
5		国联期货	5,610		5,230		
6		中融汇信	4,973		2,689		
7		徽商期货	4,847		3,726		
8		东航期货	3,756		2,685		
9		天风期货	3,477		2,497		
10		方正中期	3,331		2,736		
11		兴证期货	3,112		1,428		
12		宝城期货	2,842		2,539		
13		美尔雅期货	2,709		1,563		
14		安粮期货	2,636		1,916		
15		招商期货	2,477		2,341		
16		国投期货	2,437		1,094		
17		东证期货	2,161		1,801		
18		北京首创	2,006		1,306		
19		南证期货	1,849		1,274		
20		金瑞期货	1,781		1,539		
21		中信建投	1,644		1,365		
22		华泰期货	1,623		1,117		
23		广发期货	1,381		803		
24		中信期货	1,346		703		
25		国泰君安	1,335		902		
26		格林大华	1,281		958		
27		中国国际	1,278		655		
28		弘业期货	1,218		949		
29		中衍期货	1,185		360		
30		创元期货	1,163		1,104		
31		冠通期货	1,137		876		
32		国海良时	1,133		572		
33		银河期货	1,127		-1,503		
34		集成期货	1,102		904		
35		鲁证期货	1,081		532		
36		海通期货	1,052		828		
37		光大期货	1,045		14		
38		上海中期	1,031		787		
39		华安期货	988		721		
40		宏源期货	964		624		
41		信达期货	939		692		
42		中粮期货	870		-1,459		
43		一德期货	842		528		
44		长江期货	738		-158		
45		国信期货	699		610		
46		东方汇金	678		449		
47		深圳瑞龙	665		554		
48		中辉期货	648		410		
49		国贸期货	646		490		
50		南华期货	628		121		
51		瑞达期货	610		138		
52		建信期货	597		557		
53		大地期货	575		566		
54		金友期货	567		375		
55		红塔期货	544		200		
56		东吴期货	479		444		
57		锦泰期货	469		330		
58		中投期货	438		382		
59		英大期货	436		301		
60		倍特期货	424		144		
61		国元期货	416		241		
62		招金期货	408		187		
63		华龙期货	396		395		
64		中大期货	388		305		
65		先融期货	387		225		
66		上海中财	383		257		
67		东海期货	374		249		
68		华西期货	368		82		
69		浙商期货	353		197		
70		盛达期货	352		302		
71		金元期货	338		268		
72		大有期货	328		250		
73		金石期货	313		306		
74		国金期货	305		2		
75		中航期货	302		160		
76		五矿经易	287		-87		
77		德盛期货	274		75		
78		汇鑫期货	262		199		
79		大通期货	255		175		
80		首创京都	252		245		
81		津投期货	239		60		
82		同信久恒	228		182		
83		海航东银	223		148		
84		华联期货	191		137		
85		渤海期货	186		148		
86		广州期货	175		175		
87		江西瑞奇	166		144		
88		华海期货	162		152		
89		中原期货	155		61		
90		东兴期货	152		128		
91		华创期货	152		139		
92		铜冠金源	152		-52		
93		财达期货	145		100		
94		国都期货	145		40		
95		江苏新纪元	144		53		
96		神华期货	142		69		
97		上海大陆	140		73		
98		银建期货	138		111		
99		大越期货	137		130		
100		中州期货	128		86		
101		恒泰期货	121		77		
102		西部期货	119		-197		
103		和合期货	117		23		
104		鑫鼎盛期货	104		85		
105		海证期货	102		100		
106		迈科期货	102		56		
107		山金期货	98		4		
108		中钢期货	95		91		
109		浙江新世纪	86		29		
110		华鑫期货	86		76		
111		文峰期货	84		69		
112		北京金鹏	81		72		
113		大连良运	79		49		
114		安信期货	74		-291		
115		民生期货	69		56		
116		晟鑫期货	55		48		
117		广永期货	52		51		
118		天鸿期货	47		34		
119		平安期货	44		9		
120		华融期货	44		42		
121		河北恒银	35		35		
122		湖南金信	35		-12		
123		混沌天成	31		18		
124		江信国盛	30		24		
125		江苏东华	24		2		
126		天富期货	22		14		
127		金谷期货	21		21		
128		第一创业	21		9		
129		上海浙石	20		-10		
130		中银国际	18		6		
131		云晨期货	18		-167		
132		新晟期货	17		10		
133		上海东亚	17		8		
134		山西三立	16		2		
135		华闻期货	15		13		
136		道通期货	13		10		
137		长安期货	6		-12		
