								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20151113	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	77,738		34,983		
2		广发期货	53,562		-77,452		
3		东航期货	48,666		-30,597		
4		徽商期货	48,117		-22,662		
5		申银万国	46,248		-1,907		
6		国泰君安	46,099		-1,791		
7		万达期货	45,599		-2,869		
8		同信久恒	41,860		-12,687		
9		光大期货	39,025		-13,887		
10		方正中期	38,515		-18,651		
11		东证期货	32,752		11,586		
12		南华期货	31,231		-19,325		
13		东海期货	24,748		13,472		
14		中国国际	24,670		-718		
15		兴证期货	24,271		-12,348		
16		永安期货	21,104		-18,387		
17		集成期货	20,691		-36,192		
18		国金期货	20,681		-8,070		
19		国投期货	19,043		-13,241		
20		华泰期货	18,091		-10,910		
21		银河期货	17,509		-13,874		
22		安粮期货	16,585		-8,027		
23		中信期货	16,012		-2,723		
24		一德期货	15,420		-1,890		
25		鲁证期货	15,256		-12,028		
26		华鑫期货	14,463		-49,730		
27		国海良时	14,174		-4,568		
28		大有期货	13,984		-654		
29		创元期货	13,493		-5,157		
30		华安期货	13,453		-12,043		
31		弘业期货	13,262		-17,360		
32		中信建投	12,593		-9,354		
33		大通期货	12,440		506		
34		宏源期货	12,436		2,274		
35		中衍期货	12,021		-8,547		
36		国联期货	11,839		-3,124		
37		混沌天成	11,427		-5,354		
38		宝城期货	10,580		1,826		
39		上海东亚	10,445		9,404		
40		深圳瑞龙	10,188		2,384		
41		招商期货	9,818		-3,361		
42		中粮期货	9,777		-14,417		
43		东方汇金	9,294		-4,382		
44		中辉期货	9,143		-14,406		
45		上海中期	8,997		-4,472		
46		信达期货	8,588		1,043		
47		冠通期货	8,459		-2,029		
48		瑞达期货	8,250		-1,921		
49		安信期货	8,131		-2,781		
50		金元期货	8,085		-2,164		
51		浙商期货	7,979		-1,646		
52		新湖期货	7,758		-21,015		
53		格林大华	7,657		-213		
54		东吴期货	7,431		-4,734		
55		国信期货	7,359		-959		
56		长江期货	7,268		-3,691		
57		先融期货	7,133		-2,507		
58		美尔雅期货	7,005		-3,771		
59		汇鑫期货	6,751		-6,459		
60		中原期货	6,639		3,220		
61		中大期货	6,342		-8,207		
62		上海中财	6,265		-2,431		
63		五矿经易	6,134		-13,712		
64		北京首创	5,814		-5,102		
65		大地期货	5,745		-17		
66		南证期货	4,891		1,902		
67		平安期货	4,795		2,648		
68		金瑞期货	4,764		590		
69		江苏新纪元	4,622		-434		
70		国贸期货	4,314		659		
71		上海大陆	4,163		-705		
72		锦泰期货	3,682		-600		
73		金友期货	3,659		-860		
74		招金期货	3,596		-5,153		
75		天鸿期货	3,540		-5,941		
76		中投期货	3,486		-1,936		
77		英大期货	3,446		-8,942		
78		华西期货	3,286		-249		
79		神华期货	3,149		-1,536		
80		国元期货	2,923		383		
81		倍特期货	2,879		-848		
82		浙江新世纪	2,556		-2,361		
83		迈科期货	2,407		-381		
84		广永期货	2,233		-2,023		
85		大越期货	2,228		-1,871		
86		渤海期货	2,221		-2,292		
87		中融汇信	2,185		-18,656		
88		华融期货	2,170		-1,847		
89		红塔期货	2,152		273		
90		山西三立	2,085		-143		
91		民生期货	2,058		-708		
92		天风期货	1,995		1,217		
93		广州期货	1,825		218		
94		华联期货	1,809		-972		
95		西部期货	1,803		-2,122		
96		长安期货	1,791		-577		
97		海证期货	1,784		-582		
98		中航期货	1,746		-4,736		
99		江信国盛	1,637		1,104		
100		江西瑞奇	1,569		185		
101		津投期货	1,552		-3,378		
102		银建期货	1,456		-937		
103		铜冠金源	1,415		-1,108		
104		北京金鹏	1,376		-1,099		
105		德盛期货	1,365		-483		
106		财达期货	1,235		-62		
107		东兴期货	1,229		-727		
108		云晨期货	1,127		504		
109		中钢期货	1,110		-35,102		
110		晟鑫期货	1,087		582		
111		建信期货	1,011		-1,533		
112		山金期货	1,003		339		
113		天富期货	984		-1,342		
114		恒泰期货	969		-2,097		
115		中州期货	923		119		
116		大连良运	871		-40		
117		首创京都	859		-1,454		
118		海航东银	849		-263		
119		盛达期货	810		-238		
120		国都期货	747		-1,129		
121		河北恒银	676		213		
122		华龙期货	648		-1,768		
123		和合期货	628		-666		
124		湖南金信	624		-38		
125		华创期货	612		-155		
126		西南期货	607		62		
127		中银国际	583		-1,109		
128		鑫鼎盛期货	581		-553		
129		金石期货	545		37		
130		江苏东华	542		-2,383		
131		新晟期货	280		-233		
132		兴业期货	267		-1,276		
133		摩根大通	200		-1,916		
134		财富期货	195		-27		
135		道通期货	192		-442		
136		新疆天利	163		140		
137		文峰期货	163		-75		
138		第一创业	162		110		
139		上海浙石	143		-33		
140		深圳金汇	138		-204		
141		金谷期货	90		33		
142		国富期货	90		-42		
143		华闻期货	83		-839		
144		黑龙江时代	8		6		
145		华海期货	5		-4		
146		和融期货	3		-1		
147		通惠期货	2		-6		
148		东方期货	2		-39		
总计				1,311,772	-617,778	

名次		会员简称	持买单量	增减		
1		华鑫期货	35,007		-46		
2		华泰期货	18,848		-1,594		
3		国投期货	17,738		-165		
4		弘业期货	14,492		-915		
5		兴证期货	11,999		-2,004		
6		永安期货	11,588		-965		
7		申银万国	10,578		-1,368		
8		招商期货	9,441		43		
9		北京首创	7,727		-281		
10		光大期货	7,663		-5,278		
11		中粮期货	7,427		-1,437		
12		广发期货	7,334		-1,162		
13		东航期货	6,603		243		
14		格林大华	6,476		-2,294		
15		瑞达期货	6,299		211		
16		中信建投	6,254		-68		
17		海通期货	5,991		1,281		
18		国泰君安	5,449		-5,897		
19		摩根大通	5,394		200		
20		金瑞期货	4,488		-275		
21		中信期货	4,368		-96		
22		银河期货	4,180		217		
23		国海良时	4,131		-2,406		
24		方正中期	4,002		-1,481		
25		浙商期货	3,814		-1,486		
26		鲁证期货	3,634		-3,572		
27		新湖期货	3,518		-1,208		
28		中国国际	3,459		-220		
29		一德期货	2,867		549		
30		南华期货	2,767		-461		
31		混沌天成	2,482		-60		
32		徽商期货	2,211		-657		
33		万达期货	2,189		-1,762		
34		中钢期货	1,985		72		
35		西部期货	1,915		304		
36		宝城期货	1,723		25		
37		招金期货	1,703		678		
38		中大期货	1,644		-220		
39		上海中期	1,557		506		
40		国信期货	1,342		138		
41		云晨期货	1,287		-296		
42		东证期货	1,242		-453		
43		美尔雅期货	1,214		-288		
44		大地期货	1,176		-628		
45		民生期货	1,121		635		
46		浙江新世纪	1,112		69		
47		大通期货	1,110		-1,506		
48		国联期货	1,095		-227		
49		宏源期货	1,039		-423		
50		五矿经易	1,000		-285		
51		长江期货	918		11		
52		长安期货	808		-147		
53		英大期货	801		-33		
54		国贸期货	750		33		
55		中投期货	732		63		
56		东海期货	703		-2,561		
57		恒泰期货	688		-119		
58		同信久恒	687		45		
59		安粮期货	673		-235		
60		建信期货	663		157		
61		广永期货	592		207		
62		华海期货	550		-2		
63		大越期货	550		-252		
64		深圳瑞龙	541		210		
65		迈科期货	534		-62		
66		中融汇信	498		49		
67		大连良运	444		255		
68		华安期货	427		47		
69		中衍期货	421		-213		
70		华西期货	418		41		
71		信达期货	418		-1		
72		东方汇金	408		-141		
73		江信国盛	390		-105		
74		安信期货	366		-288		
75		中辉期货	362		-77		
76		大有期货	350		-166		
77		北京金鹏	347		-17		
78		汇鑫期货	345		-1,009		
79		锦泰期货	337		26		
80		国元期货	335		-72		
81		上海东亚	335		-111		
82		冠通期货	334		-1,277		
83		东吴期货	330		-561		
84		金元期货	315		112		
85		红塔期货	295		11		
86		创元期货	284		-347		
87		倍特期货	234		-173		
88		渤海期货	220		23		
89		深圳金汇	209		12		
90		天富期货	205		-240		
91		德盛期货	200		-9		
92		平安期货	191		-36		
93		上海中财	189		14		
94		银建期货	174		-115		
95		天风期货	171		-1,512		
96		中原期货	155		-26		
97		先融期货	151		-6		
98		上海大陆	135		-111		
99		天鸿期货	135		-1,447		
100		国都期货	125		-121		
101		西南期货	125		-1		
102		金友期货	123		-43		
103		湖南金信	118		88		
104		神华期货	109		7		
105		铜冠金源	108		-80		
106		华融期货	106		0		
107		华联期货	103		-17		
108		江苏新纪元	101		62		
109		国金期货	99		-167		
110		津投期货	82		3		
111		山金期货	80		0		
112		中银国际	72		-43		
113		广州期货	72		-134		
114		东兴期货	72		-5		
115		中航期货	64		-131		
116		新晟期货	59		44		
117		华闻期货	57		-3		
118		财达期货	56		-35		
119		集成期货	55		-380		
120		首创京都	52		-20		
121		江西瑞奇	50		3		
122		文峰期货	42		-8		
123		海证期货	40		11		
124		金石期货	39		-8		
125		海航东银	37		-242		
126		中州期货	33		-51		
127		河北恒银	24		3		
128		和合期货	23		-5		
129		南证期货	22		-60		
130		晟鑫期货	20		-18		
131		道通期货	13		1		
132		江苏东华	12		10		
133		华创期货	12		-20		
134		华龙期货	12		-14		
135		盛达期货	11		-4		
136		第一创业	11		10		
137		山西三立	11		5		
138		国富期货	9		-1		
139		财富期货	5		0		
140		和融期货	3		1		
141		东方期货	3		-2		
142		通惠期货	2		0		
143		上海浙石	2		-98		
144		兴业期货	2		-18		
145		鑫鼎盛期货	1		-20		
146		黑龙江时代	1		-1		
147		金谷期货	0		-8		
总计				296,279		-47,978		

名次		会员简称	持卖单量	增减		
1		中粮期货	18,652		3,588		
2		国泰君安	16,030		2,998		
3		美尔雅期货	15,240		-1,445		
4		国投期货	13,660		3,012		
5		海通期货	12,124		4,637		
6		永安期货	10,669		119		
7		格林大华	10,409		227		
8		银河期货	7,715		734		
9		申银万国	7,506		1,786		
10		光大期货	7,085		-3,335		
11		东航期货	6,710		-4,621		
12		北京首创	6,600		749		
13		弘业期货	6,047		-3,447		
14		方正中期	5,826		-3,810		
15		中信期货	5,703		-890		
16		华泰期货	5,696		193		
17		混沌天成	5,638		4,577		
18		天鸿期货	5,541		295		
19		徽商期货	4,858		-1,894		
20		兴证期货	4,737		-969		
21		东方汇金	4,700		617		
22		财富期货	4,684		195		
23		中国国际	4,589		-150		
24		五矿经易	4,502		-71		
25		长江期货	3,944		135		
26		新湖期货	3,820		124		
27		鲁证期货	3,461		-70		
28		中衍期货	3,363		-788		
29		中投期货	3,350		367		
30		东证期货	3,314		-3,477		
31		浙商期货	2,996		1,805		
32		一德期货	2,871		351		
33		广永期货	2,830		220		
34		广发期货	2,812		-8,042		
35		万达期货	2,318		-1,733		
36		南华期货	2,205		-1,736		
37		中信建投	2,164		-1,387		
38		华鑫期货	2,126		-8,209		
39		安信期货	2,081		-445		
40		瑞达期货	1,930		-381		
41		宏源期货	1,730		-679		
42		国联期货	1,666		-5,090		
43		建信期货	1,564		62		
44		华西期货	1,558		-195		
45		创元期货	1,543		-2,084		
46		招商期货	1,535		-1,347		
47		国海良时	1,531		-618		
48		中航期货	1,431		373		
49		国信期货	1,411		-395		
50		大越期货	1,372		-408		
51		云晨期货	1,341		-33		
52		中钢期货	1,276		-352		
53		红塔期货	1,238		575		
54		中辉期货	1,222		-684		
55		神华期货	1,211		238		
56		浙江新世纪	1,125		19		
57		道通期货	1,110		-13		
58		金瑞期货	1,108		-1,307		
59		东海期货	1,103		-2,273		
60		信达期货	1,099		-1,273		
61		上海中财	1,088		203		
62		英大期货	1,063		-203		
63		宝城期货	1,054		43		
64		安粮期货	1,029		164		
65		深圳瑞龙	966		292		
66		国金期货	926		-478		
67		国元期货	903		-109		
68		长安期货	863		-308		
69		上海中期	814		-1,179		
70		中大期货	766		-636		
71		恒泰期货	763		-66		
72		锦泰期货	706		-1,642		
73		冠通期货	649		-610		
74		华安期货	639		-1,130		
75		广州期货	609		-47		
76		迈科期货	609		-51		
77		德盛期货	597		40		
78		大地期货	578		-401		
79		招金期货	577		36		
80		金友期货	527		-88		
81		倍特期货	525		-124		
82		中融汇信	513		88		
83		汇鑫期货	489		-60		
84		国贸期货	489		-177		
85		江西瑞奇	455		-630		
86		财达期货	452		-92		
87		大有期货	432		-98		
88		新疆天利	432		-19		
89		东吴期货	387		-444		
90		上海大陆	382		-188		
91		金元期货	379		-249		
92		渤海期货	368		162		
93		华联期货	358		-138		
