								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20161026	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	48,935		-19,833		
2		广永期货	32,924		-3,110		
3		安粮期货	28,935		-10,811		
4		国投安信	26,937		-16,652		
5		华安期货	25,908		-14,932		
6		广发期货	23,717		1,466		
7		国泰君安	23,206		-5,392		
8		永安期货	22,662		-15,138		
9		中信期货	19,045		-5,057		
10		华泰期货	17,913		-15,278		
11		东航期货	15,809		-12,142		
12		徽商期货	15,564		-7,441		
13		中粮期货	14,852		2,641		
14		光大期货	14,452		-4,268		
15		申银万国	14,288		-5,007		
16		鲁证期货	13,946		-464		
17		方正中期	13,702		-21,029		
18		南华期货	13,003		82		
19		中国国际	12,893		1,767		
20		兴证期货	11,925		-3,753		
21		招商期货	11,883		3,196		
22		银河期货	11,823		-6,473		
23		东证期货	11,777		-7,595		
24		弘业期货	10,840		-3,066		
25		美尔雅期货	9,569		-823		
26		中信建投	9,490		-10,675		
27		华信万达	9,216		-4,732		
28		国海良时	9,067		-1,830		
29		金元期货	8,733		-737		
30		迈科期货	8,146		1,265		
31		宏源期货	6,545		-2,544		
32		建信期货	6,527		2,091		
33		浙商期货	6,122		-2,596		
34		国信期货	5,899		-3,609		
35		中原期货	5,869		3,948		
36		长江期货	5,374		-1,290		
37		中衍期货	5,259		-548		
38		英大期货	5,083		49		
39		瑞达期货	4,937		-5,631		
40		中大期货	4,858		121		
41		西部期货	4,853		-879		
42		北京首创	4,775		46		
43		一德期货	4,540		-1,556		
44		新湖期货	4,443		-4,402		
45		深圳瑞龙	4,397		685		
46		国联期货	4,326		611		
47		中辉期货	4,321		-1,115		
48		格林大华	4,292		-5,764		
49		渤海期货	4,231		-344		
50		同信久恒	4,166		-3,550		
51		上海中期	3,944		-3,860		
52		上海大陆	3,910		-4,851		
53		东方汇金	3,893		393		
54		冠通期货	3,781		-4,376		
55		江西瑞奇	3,638		282		
56		大地期货	3,441		-1,925		
57		创元期货	3,429		-1,875		
58		广州期货	3,333		-2,136		
59		海航期货	3,315		910		
60		国都期货	3,275		-3,909		
61		金瑞期货	3,272		-1,578		
62		国金期货	3,200		-7,716		
63		北京金鹏	3,029		-1,363		
64		五矿经易	2,822		-1,666		
65		先融期货	2,819		-338		
66		信达期货	2,811		-3,292		
67		浙江新世纪	2,783		-4,120		
68		中融汇信	2,728		-1,609		
69		华西期货	2,561		-111		
70		大越期货	2,432		-471		
71		首创京都	2,316		-128		
72		中钢期货	2,270		1,703		
73		中投期货	2,265		-401		
74		东海期货	2,176		-722		
75		华闻期货	2,104		-965		
76		福能期货	2,030		-3,471		
77		江苏新纪元	1,993		-11		
78		国富期货	1,981		-1,441		
79		国元期货	1,850		-1,905		
80		宝城期货	1,742		-2,721		
81		恒泰期货	1,734		-956		
82		德盛期货	1,697		403		
83		中航期货	1,685		612		
84		集成期货	1,665		194		
85		金石期货	1,522		-133		
86		长安期货	1,496		680		
87		华联期货	1,480		-1,889		
88		大连良运	1,398		792		
89		民生期货	1,381		-266		
90		华创期货	1,374		-575		
91		国贸期货	1,368		-3,171		
92		天风期货	1,232		-2,011		
93		混沌天成	1,224		-1,304		
94		铜冠金源	1,171		-1,384		
95		平安期货	1,144		-733		
96		江苏东华	1,141		716		
97		道通期货	1,135		-4,431		
98		东吴期货	1,082		-314		
99		倍特期货	1,079		-2,380		
100		财达期货	1,078		189		
101		中天期货	1,059		-528		
102		招金期货	1,059		-3,860		
103		华融期货	1,005		-69		
104		上海中财	977		-1,186		
105		汇鑫期货	961		-1,081		
106		大有期货	860		-310		
107		神华期货	847		-397		
108		海证期货	805		-355		
109		中银国际	725		-244		
110		上海东亚	705		-108		
111		华鑫期货	645		-1,981		
112		中州期货	639		-1,408		
113		锦泰期货	589		-685		
114		云晨期货	546		-596		
115		东兴期货	545		-609		
116		南证期货	535		-794		
117		湖南金信	494		219		
118		九州期货	471		305		
119		兴业期货	423		123		
120		新晟期货	379		-78		
121		第一创业	358		59		
122		西南期货	342		-192		
123		红塔期货	336		-49		
124		和合期货	335		-172		
125		深圳金汇	327		-51		
126		天鸿期货	316		-123		
127		津投期货	288		-366		
128		文峰期货	263		-194		
129		华龙期货	261		14		
130		山西三立	248		76		
131		东方期货	230		-18		
132		通惠期货	185		-102		
133		中金期货	179		-217		
134		河北恒银	175		-262		
