								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20150205	

			期货公司会员	

名次		会员简称	成交量		增减		
97		新晟期货	5		3		
98		集成期货	5		0		
99		云晨期货	4		0		
100		信达期货	4		0		
101		汇鑫期货	4		2		
102		天风期货	4		1		
103		大通期货	3		-2		
104		瑞达期货	3		2		
105		天鸿期货	3		3		
106		盛达期货	3		3		
107		湖南金信	2		1		
108		江苏东华	2		2		
109		大越期货	2		2		
110		上海通联	2		2		
111		中银国际	2		2		
112		华创期货	2		2		
113		平安期货	2		1		
114		上海中财	2		0		
115		兴业期货	2		2		
116		中州期货	1		1		
117		和合期货	1		0		
118		中原期货	1		0		
119		国都期货	1		1		
120		民生期货	1		-4		
121		浙江新世纪	0		-7		
122		国富期货	0		-37		
123		先融期货	0		-5		
124		文峰期货	0		-4		
125		鑫鼎盛期货	0		-2		
总计				12,978		3,127		

名次		会员简称	持卖单量	增减		
1		永安期货	1,371		214		
2		中粮期货	859		156		
3		中信建投	845		11		
4		东航期货	717		284		
5		银河期货	705		286		
6		国投期货	629		300		
7		新湖期货	592		30		
8		光大期货	584		122		
9		华泰长城	501		259		
10		徽商期货	332		219		
11		广发期货	296		115		
12		海航东银	278		0		
13		英大期货	225		172		
14		海通期货	222		-9		
15		国泰君安	221		9		
16		中信期货	195		-2		
17		招商期货	193		31		
18		上海中期	192		66		
19		国信期货	173		132		
20		中衍期货	170		0		
21		广州期货	150		-1		
22		万达期货	131		76		
23		中辉期货	129		20		
24		安信期货	128		90		
25		方正中期	124		-37		
26		东证期货	120		16		
27		鲁证期货	115		-3		
28		北京首创	109		40		
29		建信期货	106		-9		
30		浙商期货	105		44		
31		金友期货	103		42		
32		长江期货	102		11		
33		华安期货	99		52		
34		中国国际	93		-45		
35		宝城期货	88		-18		
36		长安期货	87		6		
37		五矿期货	84		11		
38		浙江新世纪	83		40		
39		中投期货	81		16		
40		金瑞期货	70		57		
41		东方汇金	62		12		
42		格林大华	62		8		
43		一德期货	59		11		
44		华联期货	57		16		
45		冠通期货	56		39		
46		德盛期货	52		42		
47		混沌天成	50		40		
48		国海良时	50		-2		
49		中原期货	45		45		
50		和合期货	43		12		
51		深圳瑞龙	39		5		
52		大越期货	38		36		
53		美尔雅期货	38		-9		
54		锦泰期货	37		8		
55		安粮期货	36		10		
56		兴证期货	36		12		
57		中州期货	35		4		
58		弘业期货	34		8		
59		申银万国	33		-15		
60		天富期货	32		-16		
61		同信久恒	31		0		
62		民生期货	30		20		
63		渤海期货	29		24		
64		大地期货	28		16		
65		神华期货	27		-1		
66		招金期货	26		7		
67		浙江中大	25		0		
68		南华期货	25		2		
69		国元期货	24		6		
70		平安期货	21		6		
71		上海中财	20		13		
72		汇鑫期货	20		-6		
73		宏源期货	20		5		
74		国贸期货	17		8		
75		金石期货	16		7		
76		倍特期货	14		4		
77		集成期货	14		0		
78		江西瑞奇	13		6		
79		道通期货	13		12		
80		西部期货	13		10		
81		恒泰期货	12		-4		
82		津投期货	12		8		
83		华西期货	11		5		
84		新疆天利	11		11		
85		上海浙石	11		2		
86		国联期货	11		3		
87		广永期货	10		-37		
88		中银国际	10		0		
89		江苏东华	10		0		
90		信达期货	10		-3		
91		大有期货	10		-1		
92		创元期货	9		-36		
93		先融期货	9		5		
94		江苏新纪元	8		5		
95		东吴期货	8		5		
96		大连良运	7		3		
97		华创期货	7		4		
98		华龙期货	6		2		
99		首创京都	6		2		
100		国都期货	6		0		
101		西南期货	6		0		
102		金元期货	6		3		
103		新晟期货	5		4		
104		红塔期货	5		-18		
105		天风期货	5		0		
106		云晨期货	5		5		
107		上海大陆	4		0		
108		华鑫期货	4		1		
109		南证期货	4		1		
110		山金期货	3		0		
111		北京金鹏	3		3		
112		湖南金信	2		2		
113		中航期货	2		0		
114		文峰期货	2		0		
115		东海期货	2		-4		
116		中钢期货	2		2		
117		兴业期货	2		-1		
118		东兴期货	1		0		
119		晟鑫期货	1		0		
120		国金期货	1		-10		
121		鑫鼎盛期货	1		1		
122		瑞达期货	1		-15		
123		山西三立	0		-1		
124		铜冠金源	0		-8		
125		河北恒银	0		-2		
126		华融期货	0		-1		
127		海证期货	0		-17		
总计				12,978		3,127		



会员类别	总成交量	增减		
期货公司会员	62,786		50,004		
非期货公司会员	0		0		

会员类别	总持买单量	增减		
期货公司会员	12,978		3,127		
非期货公司会员	0		0		

会员类别	总持卖单量	增减		
期货公司会员	12,978		3,127		
非期货公司会员	0		0		

