								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20150729	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海航东银	1,164		1,124		
2		鲁证期货	749		388		
3		兴证期货	624		-660		
4		新湖期货	540		-909		
5		永安期货	509		-183		
6		徽商期货	350		-154		
7		方正中期	332		49		
8		银河期货	321		-162		
9		东航期货	282		-116		
10		广发期货	269		78		
11		中衍期货	245		-909		
12		申银万国	226		122		
13		集成期货	218		-212		
14		信达期货	203		71		
15		中信期货	198		-317		
16		中融汇信	188		-30		
17		中国国际	185		-111		
18		万达期货	161		-120		
19		创元期货	132		92		
20		国泰君安	128		-251		
21		首创京都	107		-323		
22		上海大陆	106		-32		
23		东方汇金	85		-8		
24		中投期货	78		48		
25		国贸期货	77		71		
26		中辉期货	76		-12		
27		光大期货	74		-122		
28		中粮期货	74		-45		
29		天鸿期货	72		59		
30		格林大华	68		-37		
31		华安期货	63		11		
32		东证期货	63		-90		
33		浙商期货	62		16		
34		弘业期货	60		51		
35		国都期货	59		55		
36		长江期货	58		20		
37		海通期货	54		-93		
38		安粮期货	50		14		
39		一德期货	44		-82		
40		招金期货	41		-102		
41		上海中期	41		-233		
42		美尔雅期货	37		13		
43		华西期货	37		-244		
44		神华期货	37		36		
45		平安期货	36		-8		
46		天风期货	35		-233		
47		国金期货	34		-25		
48		宏源期货	34		-13		
49		中大期货	34		-1		
50		大地期货	33		33		
51		国联期货	31		22		
52		中州期货	30		18		
53		五矿经易	30		7		
54		上海东亚	30		14		
55		渤海期货	28		8		
56		金友期货	27		-28		
57		英大期货	27		11		
58		浙江新世纪	24		-12		
59		大越期货	24		20		
60		招商期货	24		18		
61		华泰期货	23		-14		
62		国信期货	21		-434		
63		锦泰期货	21		0		
64		迈科期货	20		6		
65		金元期货	20		-7		
66		金瑞期货	20		2		
67		安信期货	19		18		
68		倍特期货	19		3		
69		华联期货	17		-10		
70		江西瑞奇	16		-10		
71		北京首创	16		-109		
72		中信建投	16		-45		
73		大通期货	15		7		
74		同信久恒	15		1		
75		深圳瑞龙	14		-7		
76		冠通期货	14		-11		
77		大有期货	14		13		
78		上海中财	13		-3		
79		东海期货	13		-27		
80		北京金鹏	13		-35		
81		东兴期货	13		3		
82		晟鑫期货	12		-2		
83		瑞达期货	12		-9		
84		中原期货	12		-34		
85		民生期货	11		4		
86		江苏东华	11		-11		
87		长安期货	10		0		
88		大连良运	10		6		
89		东吴期货	10		-105		
90		华闻期货	9		6		
91		宝城期货	9		-3		
92		南证期货	9		-4		
93		华鑫期货	8		8		
94		先融期货	8		5		
95		恒泰期货	8		-4		
96		华创期货	8		6		
97		银建期货	7		-72		
98		国海良时	6		-147		
99		山金期货	6		6		
100		金石期货	6		4		
101		山西三立	6		-23		
102		津投期货	5		-1		
103		广州期货	5		4		
104		南华期货	5		-159		
105		新晟期货	5		4		
106		江信国盛	4		4		
107		国投期货	4		4		
108		德盛期货	3		-2		
109		和合期货	3		-10		
110		中航期货	3		3		
111		河北恒银	3		-7		
112		西南期货	3		0		
113		财达期货	2		0		
114		鑫鼎盛期货	2		2		
115		云晨期货	2		2		
116		新疆天利	2		2		
117		江苏新纪元	2		-11		
118		铜冠金源	2		-110		
119		天富期货	1		-11		
120		混沌天成	1		-7		
121		海证期货	1		1		
122		华融期货	1		0		
123		西部期货	1		0		
总计				9,618		-4,728		

名次		会员简称	持买单量	增减		
1		国投期货	3,627		0		
2		中粮期货	3,239		6		
3		海航东银	2,137		29		
4		新湖期货	2,095		-144		
5		摩根大通	2,000		0		
6		万达期货	902		37		
7		中信期货	583		-6		
8		中国国际	574		14		
9		银河期货	504		-36		
10		徽商期货	470		-26		
11		广发期货	407		23		
12		南华期货	251		1		
13		光大期货	246		-26		
14		方正中期	220		-99		
15		上海大陆	204		1		
16		中大期货	203		3		
17		国泰君安	192		-2		
18		五矿经易	191		20		
19		信达期货	175		-47		
20		华西期货	144		-2		
21		瑞达期货	143		10		
22		天富期货	135		-1		
23		国信期货	122		-2		
24		东方汇金	117		-43		
25		中信建投	113		0		
26		神华期货	105		-1		
27		华泰期货	97		4		
28		东证期货	97		11		
29		中投期货	93		32		
30		鲁证期货	89		-78		
31		海通期货	85		-15		
32		金友期货	82		11		
33		东航期货	76		29		
34		格林大华	74		-15		
