								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20170725	

			期货公司会员	

名次		会员简称	成交量		增减		
1		海通期货	23,202		5,107		
2		华安期货	17,145		841		
3		永安期货	16,079		6,309		
4		光大期货	14,351		-8,136		
5		国投安信	14,323		-5,037		
6		兴证期货	13,656		-4,663		
7		中信期货	13,197		-9,109		
8		华泰期货	12,489		-2,815		
9		东证期货	11,091		2,026		
10		广州金控	9,286		-2,821		
11		国泰君安	8,404		-3,326		
12		徽商期货	6,515		-1,093		
13		鲁证期货	5,778		-2,133		
14		汇鑫期货	5,768		-1,181		
15		南华期货	5,672		-1,950		
16		申银万国	5,190		449		
17		广发期货	4,878		-259		
18		西部期货	4,259		-3,103		
19		银河期货	4,232		-3,539		
20		东航期货	4,089		-8,781		
21		金瑞期货	3,958		-838		
22		华信期货	3,457		-386		
23		铜冠金源	3,340		563		
24		浙商期货	3,212		258		
25		中辉期货	3,019		-638		
26		国信期货	2,991		-4,594		
27		招商期货	2,872		-288		
28		江信国盛	2,872		2,706		
29		渤海期货	2,843		-1,529		
30		长安期货	2,836		723		
31		中信建投	2,487		-1,203		
32		方正中期	2,433		-3,871		
33		中银国际	2,425		-33		
34		宏源期货	2,348		-827		
35		上海中期	2,294		60		
36		新湖期货	2,264		-3,671		
37		长江期货	2,132		-2,002		
38		中粮期货	2,114		-1,349		
39		北京首创	2,093		-3,984		
40		弘业期货	1,912		-821		
41		安粮期货	1,875		-1,302		
42		美尔雅期货	1,812		59		
43		天风期货	1,746		703		
44		国富期货	1,657		-1,675		
45		中国国际	1,655		-1,324		
46		东海期货	1,557		-12		
47		冠通期货	1,466		302		
48		英大期货	1,346		254		
49		建信期货	1,296		-385		
50		中大期货	1,292		-392		
51		一德期货	1,194		-3,215		
52		中衍期货	1,159		-198		
53		宝城期货	1,155		-1,431		
54		创元期货	1,100		-632		
55		国金期货	1,096		138		
56		福能期货	1,027		-326		
57		东吴期货	1,025		-643		
58		国海良时	1,014		-1,868		
59		平安期货	965		302		
60		五矿经易	956		-43		
61		金元期货	941		-163		
62		海航期货	896		601		
63		深圳瑞龙	859		33		
64		国贸期货	752		-26		
65		浙江新世纪	747		-65		
66		盛达期货	722		501		
67		国联期货	710		-1,605		
68		神华期货	695		451		
69		大地期货	680		202		
70		格林大华	676		-282		
71		上海大陆	659		239		
72		江苏东华	640		127		
73		大有期货	616		-82		
74		中财期货	590		-174		
75		中航期货	583		57		
76		中原期货	536		187		
77		恒泰期货	522		97		
78		瑞达期货	518		-335		
79		中金期货	491		135		
80		华鑫期货	448		-5,288		
81		倍特期货	445		-509		
82		中投期货	437		-513		
83		华西期货	434		-708		
84		信达期货	421		-2,181		
85		国元期货	399		-578		
86		兴业期货	398		-1,142		
87		江西瑞奇	392		-26		
88		北京金鹏	392		-424		
