								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20150518	

			期货公司会员	

名次		会员简称	成交量		增减		
1		徽商期货	1,150		-301		
2		永安期货	769		-1,332		
3		东航期货	571		-415		
4		津投期货	563		328		
5		集成期货	515		-331		
6		中国国际	496		142		
7		新湖期货	469		-198		
8		银河期货	418		-23		
9		浙商期货	401		195		
10		安粮期货	380		-349		
11		中融汇信	374		-176		
12		长江期货	339		81		
13		中衍期货	320		-151		
14		海通期货	312		102		
15		广发期货	290		-183		
16		金友期货	289		-57		
17		方正中期	266		-527		
18		弘业期货	257		-127		
19		鲁证期货	232		-740		
20		渤海期货	220		140		
21		中大期货	211		-262		
22		东方汇金	185		-165		
23		国泰君安	185		-250		
24		申银万国	179		-859		
25		国投期货	175		-313		
26		中粮期货	171		-63		
27		上海大陆	170		71		
28		中信期货	167		-124		
29		光大期货	167		16		
30		万达期货	166		-272		
31		安信期货	164		11		
32		国信期货	156		16		
33		美尔雅期货	117		-378		
34		江苏新纪元	109		-45		
35		南华期货	107		1		
36		华泰期货	103		-96		
37		兴证期货	103		-121		
38		江苏东华	99		52		
39		东证期货	99		-199		
40		铜冠金源	98		52		
41		迈科期货	97		-58		
42		海证期货	97		76		
43		上海中期	94		-384		
44		国海良时	92		-149		
45		华西期货	92		13		
46		中信建投	88		-72		
47		平安期货	87		69		
48		宏源期货	83		-151		
49		华龙期货	79		66		
50		金元期货	78		36		
51		信达期货	77		-184		
52		中辉期货	76		-79		
53		英大期货	65		-22		
54		天富期货	65		52		
55		中州期货	57		-202		
56		天风期货	53		-47		
57		深圳金汇	51		30		
58		北京金鹏	50		-15		
59		一德期货	43		-16		
60		江西瑞奇	43		21		
61		金石期货	41		-9		
62		东吴期货	38		-33		
63		大有期货	36		33		
64		锦泰期货	36		-115		
65		神华期货	32		-33		
66		招商期货	31		-7		
67		瑞达期货	31		-144		
68		大连良运	30		20		
69		深圳瑞龙	30		-42		
70		冠通期货	29		7		
71		倍特期货	29		-26		
72		五矿期货	28		-46		
73		恒泰期货	26		-107		
74		华鑫期货	24		9		
75		国贸期货	24		-193		
76		湖南金信	24		7		
77		格林大华	24		-80		
78		国联期货	23		-55		
79		中原期货	23		-119		
80		河北恒银	20		17		
81		西部期货	18		-35		
82		大地期货	17		-9		
83		宝城期货	17		-135		
84		云晨期货	16		8		
85		招金期货	16		-61		
86		华安期货	13		-82		
87		东兴期货	12		-12		
88		浙江新世纪	12		1		
89		广州期货	11		-19		
90		华联期货	9		-150		
91		国元期货	9		-21		
92		摩根大通	9		9		
93		中航期货	9		-13		
94		中投期货	9		-109		
95		汇鑫期货	8		3		
96		北京首创	8		-413		
97		财达期货	8		-6		
98		天鸿期货	8		-5		
99		国金期货	7		-50		
100		银建期货	7		-6		
101		上海中财	7		-12		
102		东海期货	6		-60		
103		海航东银	6		1		
104		南证期货	5		-28		
105		建信期货	5		-6		
106		德盛期货	5		-4		
107		民生期货	4		-15		
108		金瑞期货	4		-39		
109		和合期货	4		-34		
110		混沌天成	3		-19		
111		大越期货	3		-211		
112		金谷期货	3		-3		
113		盛达期货	2		-218		
114		晟鑫期货	2		-21		
115		新晟期货	2		-58		
116		中钢期货	2		-3		
117		西南期货	2		1		
118		先融期货	1		-131		
119		第一创业	1		-4		
120		长安期货	1		-23		
121		道通期货	1		1		
122		首创京都	1		-250		
123		国都期货	1		-54		
124		山西三立	1		-17		
125		华创期货	1		-58		
