								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20150902	

			期货公司会员	

名次		会员简称	成交量		增减		
1		永安期货	2,774		2,008		
2		天风期货	1,674		1,105		
3		新湖期货	1,644		-1,329		
4		徽商期货	1,571		-420		
5		中国国际	1,563		-1,223		
6		东航期货	1,478		197		
7		东证期货	1,376		1,049		
8		兴证期货	1,289		-560		
9		大有期货	1,218		1,164		
10		万达期货	1,178		-233		
11		方正中期	1,091		407		
12		海通期货	974		546		
13		申银万国	924		252		
14		中粮期货	904		703		
15		中融汇信	846		-430		
16		美尔雅期货	735		-167		
17		国联期货	735		605		
18		创元期货	707		102		
19		鲁证期货	669		227		
20		国泰君安	662		16		
21		华鑫期货	655		319		
22		中衍期货	644		-424		
23		冠通期货	555		473		
24		一德期货	490		-94		
25		中钢期货	482		480		
26		银河期货	476		-110		
27		金瑞期货	460		250		
28		国投期货	447		-845		
29		广发期货	441		-24		
30		弘业期货	440		-10		
31		光大期货	429		-19		
32		倍特期货	407		205		
33		中信期货	363		-128		
34		国海良时	360		128		
35		中辉期货	331		43		
36		安信期货	320		295		
37		格林大华	301		-113		
38		锦泰期货	276		-335		
39		中信建投	259		-300		
40		江苏新纪元	255		186		
41		国信期货	236		44		
42		浙商期货	233		21		
43		安粮期货	227		-13		
44		长江期货	225		-201		
45		集成期货	201		-539		
46		上海大陆	199		104		
47		海航东银	193		-131		
48		华泰期货	188		-406		
49		中大期货	178		64		
50		宏源期货	171		-155		
51		先融期货	168		157		
52		招商期货	158		79		
53		瑞达期货	149		-37		
54		云晨期货	146		81		
55		江西瑞奇	127		62		
56		建信期货	119		-33		
57		中航期货	112		70		
58		摩根大通	110		110		
59		国贸期货	108		-38		
60		深圳瑞龙	106		29		
61		国元期货	105		-36		
62		上海中期	101		-64		
63		中投期货	98		-31		
64		浙江新世纪	94		-37		
65		国都期货	92		54		
66		英大期货	88		-721		
67		金元期货	87		72		
68		五矿经易	74		-42		
69		华西期货	69		-16		
70		信达期货	69		-698		
71		北京首创	68		-25		
72		中银国际	68		-101		
73		晟鑫期货	67		30		
74		华融期货	65		31		
75		华联期货	63		-36		
76		恒泰期货	61		-304		
77		华海期货	60		60		
78		津投期货	59		0		
79		华安期货	58		-93		
80		宝城期货	56		-110		
81		国金期货	55		39		
82		东海期货	54		20		
83		大地期货	50		6		
84		广州期货	47		-64		
85		南华期货	46		-315		
86		中州期货	44		-4		
87		中原期货	42		-81		
88		南证期货	42		-29		
89		渤海期货	42		19		
90		平安期货	42		-33		
91		大通期货	41		26		
92		深圳金汇	40		36		
93		东兴期货	33		13		
94		上海中财	28		-58		
95		和合期货	28		2		
96		北京金鹏	26		-127		
97		东吴期货	26		-125		
98		金石期货	24		8		
99		招金期货	24		-31		
100		德盛期货	23		-130		
101		银建期货	23		4		
102		河北恒银	21		3		
103		神华期货	20		-103		
104		汇鑫期货	20		-101		
105		长安期货	19		-16		
106		山西三立	18		-1		
107		西部期货	18		-2		
108		湖南金信	17		14		
109		大越期货	16		5		
110		大连良运	16		-32		
111		金友期货	16		-72		
112		广永期货	15		15		
113		道通期货	14		12		
114		文峰期货	12		7		
115		民生期货	12		-30		
116		盛达期货	10		10		
117		黑龙江时代	8		-1		
118		东方汇金	8		-17		
119		华闻期货	8		-34		
120		同信久恒	8		-7		
121		华创期货	6		-22		
122		迈科期货	5		3		
123		鑫鼎盛期货	5		5		
124		上海东亚	4		-2		
125		铜冠金源	4		2		
126		红塔期货	4		1		
127		第一创业	4		3		
128		天富期货	4		-48		
129		华龙期货	4		2		
130		江苏东华	3		1		
131		新晟期货	3		-6		
132		江信国盛	2		-12		
133		新疆天利	2		-59		
134		海证期货	2		2		
135		金谷期货	1		0		
总计				38,368		-107		

名次		会员简称	持买单量	增减		
1		新湖期货	4,231		179		
2		摩根大通	2,970		50		
3		美尔雅期货	2,548		354		
4		中粮期货	2,498		-766		
5		国投期货	2,347		-70		
6		永安期货	1,801		1,292		
7		银河期货	1,718		133		
8		南华期货	1,215		17		
9		申银万国	1,014		62		
10		光大期货	749		-12		
11		中国国际	679		0		
12		万达期货	601		79		
13		东航期货	600		-13		
14		广发期货	567		123		
15		徽商期货	535		46		
16		信达期货	428		10		
17		英大期货	399		31		
18		东证期货	362		108		
19		一德期货	342		12		
20		五矿经易	238		1		
21		长江期货	238		0		
22		国信期货	237		-73		
23		华泰期货	226		3		
24		中信期货	214		28		
25		上海大陆	201		0		
26		瑞达期货	186		-1		
27		国海良时	185		30		
28		中衍期货	144		20		
29		安粮期货	143		9		
30		格林大华	137		-103		
31		中辉期货	135		14		
32		海通期货	132		2		
33		鲁证期货	130		-8		
34		招商期货	119		80		
35		国泰君安	118		21		
36		方正中期	116		11		
37		国贸期货	108		22		
38		海航东银	100		-25		
39		招金期货	92		0		
40		神华期货	90		0		
41		宏源期货	89		16		
42		华西期货	86		9		
43		大连良运	85		2		
44		中大期货	79		-55		
45		宝城期货	76		10		
46		广州期货	74		-19		
47		国联期货	73		-6		
48		中信建投	70		19		
49		金友期货	68		4		
50		平安期货	68		-42		
51		金瑞期货	63		15		
52		东海期货	56		2		
53		弘业期货	48		-13		
54		金元期货	47		0		
55		建信期货	45		-7		
56		红塔期货	45		0		
57		中航期货	45		1		
58		云晨期货	45		0		
59		江苏新纪元	38		9		
60		兴证期货	33		-4		
61		冠通期货	33		17		
62		恒泰期货	33		-3		
63		浙商期货	32		-1		
64		和合期货	31		14		
65		盛达期货	30		0		
66		南证期货	26		-3		
67		东兴期货	23		11		
68		中投期货	22		5		
69		汇鑫期货	21		10		
70		东方汇金	21		-1		
71		金石期货	20		2		
72		上海中期	20		-2		
73		先融期货	20		2		
74		华鑫期货	19		0		
75		晟鑫期货	19		17		
76		民生期货	19		-1		
77		北京金鹏	18		0		
78		中州期货	17		4		
79		中融汇信	17		11		
80		德盛期货	17		2		
81		江西瑞奇	16		-2		
82		锦泰期货	16		5		
83		津投期货	16		-29		
84		倍特期货	16		-1		
85		华联期货	15		3		
86		浙江新世纪	15		0		
87		天富期货	14		2		
88		华龙期货	14		0		
89		东吴期货	13		0		
90		上海中财	13		0		
91		北京首创	13		-2		
92		集成期货	13		2		
93		中银国际	13		1		
94		西部期货	12		10		
95		国金期货	12		0		
96		创元期货	12		-2		
97		中钢期货	11		0		
98		安信期货	10		-1		
99		国都期货	10		-6		
100		上海浙石	10		0		
101		兴业期货	10		0		
102		广永期货	9		0		
103		中原期货	8		-15		
104		大越期货	8		-1		
105		华安期货	7		0		
106		河北恒银	7		-1		
107		长安期货	7		1		
108		山西三立	6		-4		
109		深圳瑞龙	6		0		
110		文峰期货	5		0		
111		渤海期货	4		2		
112		大通期货	4		4		
113		道通期货	4		2		
114		湖南金信	4		-3		
115		华闻期货	4		2		
116		大地期货	4		1		
117		同信久恒	4		0		
